Mach,RAMJET_LOW_s,RAMJET_REFERENCE_s,RAMJET_HIGH_s,LOW_definition,REFERENCE_definition,HIGH_definition,ReleaseStatus
3.3,1498.0,1570.0,1642.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.4,1474.0,1540.0,1606.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.5,1450.0,1510.0,1570.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.6,1426.0,1486.0,1546.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.7,1402.0,1462.0,1522.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.8,1380.0,1439.0,1498.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
3.9,1360.0,1417.0,1474.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.0,1340.0,1395.0,1450.0,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.1,1321.8224431818182,1376.0763494318182,1430.3302556818182,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.2,1303.6448863636365,1357.1526988636365,1410.6605113636365,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.3,1285.4673295454545,1338.2290482954545,1390.9907670454545,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.4,1267.2897727272727,1319.3053977272725,1371.3210227272723,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.5,1249.112215909091,1300.381747159091,1351.651278409091,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.6,1230.9346590909092,1281.458096590909,1331.981534090909,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.7,1212.7571022727273,1262.5344460227273,1312.3117897727273,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.8,1194.5795454545455,1243.6107954545455,1292.6420454545455,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
4.9,1176.4019886363635,1224.6871448863635,1272.9723011363635,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.0,1158.2244318181818,1205.7634943181818,1253.3025568181818,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.1,1140.046875,1186.83984375,1233.6328125,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.2,1121.869318181818,1167.916193181818,1213.963068181818,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.3,1103.6917613636365,1148.9925426136365,1194.2933238636365,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.4,1085.5142045454545,1130.0688920454545,1174.6235795454545,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.5,1067.3366477272727,1111.1452414772725,1154.9538352272723,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.6,1049.159090909091,1092.221590909091,1135.284090909091,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.7,1030.981534090909,1073.297940340909,1115.614346590909,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.8,1012.8039772727273,1054.3742897727273,1095.9446022727273,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
5.9,994.6264204545454,1035.4506392045453,1076.2748579545453,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
6.0,976.4488636363636,1016.5269886363635,1056.6051136363635,Weber/Ye nacelle-included bracket,Arithmetic midpoint of two explicit ramjet control-volume brackets; not a source datum,Weber/Ye no-nacelle engine-level bracket,UNCERTAINTY_INTERFACE_ONLY_NOT_FINAL_SYSTEM_IEFF
